AccountNumber,Date,D-C-ind,Amount,Payment Method,Merchant,Description Lines,ExpenseType,ExpenseCategory
NL72ABNA0123456788,20240329,C,3000,SEPA OVERBOEKING,Unknown,SEPA Overboeking      IBAN: NL21ABNA0249151187        BIC: ABNANL2A Naam: SS SINGH,Others,M
NL72ABNA0123456788,20240329,D,86.74,Google Pay,IKEA Amsterdam,"BEA, Google Pay       IKEA Amsterdam,PAS304   NR:4T274K, 29.03.24/15:49        AMSTERDAM",Others,M
NL72ABNA0123456788,20240330,C,3000,SEPA OVERBOEKING,Unknown,SEPA Overboeking      IBAN: NL21ABNA0249151187        BIC: ABNANL2A Naam: SS SINGH,Others,M
NL72ABNA0123456788,20240330,D,3000,SEPA OVERBOEKING,Unknown,SEPA Overboeking      IBAN: NL27ABNA0123456789        BIC: ABNANL2A Naam: PK SINGH,Others,M
NL72ABNA0123456788,20240330,D,7.99,Google Pay,Zeeman Almere 01342,"BEA, Google Pay       Zeeman Almere 01342,PAS304      NR:00006954, 30.03.24/12:42      ALMERE",Clothing,O
NL72ABNA0123456788,20240330,D,56.67,Google Pay,C&A 102,"BEA, Google Pay       C&A 102,PAS304       NR:KJ5204, 30.03.24/13:13        ALMERE",Clothing,O
NL72ABNA0123456788,20240330,D,3.5,Google Pay,Robin en Kees AGF,"BEA, Google Pay       Robin en Kees AGF,PAS304        NR:HW5JY1, 30.03.24/13:17        ENKHUIZEN",Groceries,M
NL72ABNA0123456788,20240330,D,13.2,Google Pay,CCV*Kwaliteitsvishande,"BEA, Google Pay       CCV*Kwaliteitsvishande,PAS304   NR:CT846688, 30.03.24/13:23      BUNSCHOTEN SP",Dining,O
NL72ABNA0123456788,20240330,D,30.65,Google Pay,Action 1194,"BEA, Google Pay       Action 1194,PAS304   NR:06055216, 30.03.24/12:36      Almere",Utilities,M
NL72ABNA0123456788,20240330,D,7.99,Google Pay,Potae Almere,"BEA, Google Pay       Potae Almere,PAS304  NR:04715514, 30.03.24/12:46      Almere",Dining,O
NL72ABNA0123456788,20240330,D,50.43,Google Pay,ALBERT HEIJN 2242,"BEA, Google Pay       ALBERT HEIJN 2242,PAS304        NR:584LN9, 30.03.24/15:54        ALMERE",Groceries,M
NL72ABNA0123456788,20240330,D,64.5,iDEAL,TicketCounter B.V. by Buckaroo Stichting Derdengelden    ,SEPA iDEAL    IBAN: NL56DEUT0265186420        BIC: DEUTNL2A Naam: TicketCounter B.V. by Buckaroo Stichting Derdengelden      Omschrijving: 08291656 1030000854045729 DierenPark Amersfoort -  DierenPa  Kenmerk: 30-03-2024 21:13 103000,Entertainment,O
NL72ABNA0123456788,20240331,D,11.3,Google Pay,CCV*Dierenpark Amersfo,"BEA, Google Pay       CCV*Dierenpark Amersfo,PAS304   NR:CT492867, 31.03.24/12:38      AMERSFOORT",Entertainment,O
NL72ABNA0123456788,20240331,C,3500,SEPA OVERBOEKING,Unknown,SEPA Overboeking      IBAN: NL21ABNA0249151187        BIC: ABNANL2A Naam: SS SINGH,Others,M
